   ,,日期,时间,业务量
1037,,20191122,1400,62986
1038,,20191122,1430,63879
1039,,20191122,1500,66122
1040,,20191122,1530,59246
1041,,20191122,1600,59478
1042,,20191122,1630,62731
1043,,20191122,1700,66141
1044,,20191122,1730,76411
1045,,20191122,1800,81766
1046,,20191122,1830,79176
1047,,20191122,1900,83267
1048,,20191122,1930,80186
1049,,20191122,2000,81212
1050,,20191122,2030,84100
1051,,20191122,2100,79466
1052,,20191122,2130,77566
1053,,20191122,2200,76643
1054,,20191122,2230,69545
1055,,20191122,2300,59588
1056,,20191122,2330,48069
1057,,20191123,0,52094
1058,,20191123,30,33099
1059,,20191123,100,25322
1060,,20191123,130,18582
1061,,20191123,200,14297
1062,,20191123,230,10734
1063,,20191123,300,9506
1064,,20191123,330,8232
1065,,20191123,400,7664
1066,,20191123,430,8017
1067,,20191123,500,9565
1068,,20191123,530,13040
1069,,20191123,600,20702
1070,,20191123,630,33410
1071,,20191123,700,55444
1072,,20191123,730,58733
1073,,20191123,800,78745
1074,,20191123,830,83792
1075,,20191123,900,89103
1076,,20191123,930,90266
1077,,20191123,1000,78974
1078,,20191123,1030,89419
1079,,20191123,1100,87688
1080,,20191123,1130,86024
1081,,20191123,1200,94377
1082,,20191123,1230,95930
1083,,20191123,1300,88365
1084,,20191123,1330,81065
1085,,20191123,1400,74896
1086,,20191123,1430,74911
1087,,20191123,1500,68986
1088,,20191123,1530,70044
1089,,20191123,1600,72419
1090,,20191123,1630,80201
1091,,20191123,1700,82966
1092,,20191123,1730,75341
1093,,20191123,1800,88325
1094,,20191123,1830,88589
1095,,20191123,1900,91367
1096,,20191123,1930,94978
1097,,20191123,2000,92142
